Cohort,Num_Mutated_Driver_Genes,Mutated_Driver_Genes
ESCA,228,"PTCH1, FUBP1, ZBTB7B, SETBP1, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, BCL2L11, ZNF750, EPHA3, ZC3H12A, TBX3, GNAQ, MAPK1, BCOR, ATRX, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, KRAS, JAK2, JAK3, JAK1, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, RNF111, DHX9, NUP93, SMAD2, APC, MECOM, SF1, BRD7, DMD, ZNF133, APOB, NSD1, MET, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, MYCN, PMS1, PMS2, BRAF, STK11, TCF12, POLE, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, ARID5B, KANSL1, MAP2K1, MAP2K4, KDM5C, RAC1, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, ZFHX3, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, LATS2, LATS1, ARAF, CIC, FBXW7, TGFBR2, FGFR1, TNFAIP3, RET, CYLD, PLXNB2, CTNNB1, GABRA6, EP300, MED12, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, NCOR1, ERBB2, CDKN2A, EPHA2, KDM6A, NRAS, NF1, ATXN3, TET2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, TRAF3, NPM1, EGFR, AJUBA, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, PTPRD, PTPRC, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, UNCX, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, SIN3A, RNF43, TBL1XR1, TLR4, PPP2R1A, PGR, RUNX1, PLCB4, ESR1, AR, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, SMC3, PDGFRA, ZBTB20, DDX3X, GATA3, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
PCPG,65,"SETBP1, MGA, SPTA1, USP9X, WHSC1, PPP6C, FAT1, KMT2D, EPHA3, BCOR, ATRX, VHL, JAK2, APC, RRAS2, MTOR, TAF1, ATR, AMER1, PRKAR1A, BRAF, HRAS, POLE, STAG2, MAP3K4, SETD2, TP53, MAP2K1, KDM5C, CHD3, IL6ST, WT1, ZFHX3, BRCA2, FGFR2, FGFR1, RET, MED12, KMT2C, CACNA1A, CDKN2C, CDKN2A, NF1, HUWE1, FOXA2, FAM46D, EPAS1, IDH1, ALK, NFE2L2, ELF3, DNMT3A, PTPRD, KIT, CSDE1, ARID2, CUL1, TLR4, PGR, PLCB4, ATF7IP, CTCF, TSC2, GTF2I, MYH9"
UCEC,299,"PTCH1, PTPN11, BTG2, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, BCL2, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, BCL2L11, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, VHL, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, CEBPA, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, MECOM, SF1, BRD7, DMD, ZNF133, GNA13, GNA11, H3F3C, H3F3A, APOB, CBWD3, NSD1, KEL, MET, RRAS2, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOB, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, EZH2, KANSL1, RXRA, MAP2K1, MAP2K4, KDM5C, RAC1, EIF1AX, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1B, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR3, FGFR1, MYD88, TNFAIP3, PSIP1, RET, CYLD, TMSB4X, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2C, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, TRAF3, NPM1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, FOXQ1, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, UNCX, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, CD79B, SIN3A, RNF43, CDK4, TBL1XR1, TLR4, ZCCHC12, PPP2R1A, PGR, CBFB, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, TCEB1, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CD70, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
MESO,96,"PTCH1, MGA, SPTA1, USP9X, FAT1, HIST1H1E, HIST1H1C, SOS1, BCL2L11, EPHA3, TBX3, EGR3, BAP1, BCOR, NIPBL, KRAS, ACVR1, RARA, RB1, FLNA, TXNIP, BRD7, DMD, NSD1, MTOR, CNBD1, ATR, RAD21, PMS2, BRAF, POLE, STAG2, AXIN2, SMARCB1, TSC1, MAP3K4, SETD2, TP53, ARID5B, EZH2, KDM5C, CHD8, POLRMT, WT1, ZFHX3, LATS2, LATS1, ARAF, CIC, TGFBR2, FGFR3, FGFR1, MYD88, PLXNB2, GABRA6, EP300, MED12, KMT2C, KMT2B, MACF1, ATM, ARHGAP35, PAX5, NCOR1, CDKN2C, KDM6A, THRAP3, NRAS, NF2, DACH1, INPPL1, AJUBA, KMT2A, FOXQ1, ERBB4, DNMT3A, PTEN, PTPRD, KIT, PIK3CA, ARID2, SMARCA4, CD79B, PBRM1, MSH2, MSH3, MSH6, ZBTB20, MYC, CTCF, TSC2, CREBBP, SF3B1, MYH9, ARID1A, SPTAN1"
LAML,77,"PTCH1, PTPN11, ZBTB7B, SETBP1, MGA, ASXL1, ASXL2, NOTCH1, NOTCH2, USP9X, FAT1, SOS1, EPHA3, MAPK1, BCOR, PHF6, DIAPH2, RFC1, NIPBL, ABL1, KRAS, JAK2, JAK3, CEBPA, RNF111, NUP93, DMD, ZNF133, APOB, HLA-B, RAD21, STAG2, FLT3, SETD2, TP53, EZH2, KANSL1, CHD4, WT1, ZFHX3, SMC1A, CIC, MED12, ARHGAP35, EPHA2, KDM6A, THRAP3, NRAS, NF1, TET2, MUC6, IDH2, IDH1, NPM1, EGFR, RIT1, SRSF2, DNMT3A, U2AF1, KIT, PIK3CB, MAX, ARID2, PDS5B, CUL1, CUL3, TLR4, CBFB, RUNX1, ATF7IP, SMC3, PDGFRA, MYC, CD70, CTCF, SF3B1, ARID1A"
KIRP,217,"PTCH1, PTPN11, BTG2, FUBP1, ZBTB7B, SETBP1, MGA, ASXL1, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, SOS1, BCL2L11, ZFP36L1, EPHA3, ZC3H12A, TBX3, BAP1, MAPK1, BCOR, VHL, DIAPH2, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, JAK2, JAK3, JAK1, KLF5, LZTR1, PLCG1, CEBPA, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, DMD, GNA13, APOB, CBWD3, NSD1, KEL, MET, RRAS2, MTOR, TAF1, ATR, HLA-B, HLA-A, AMER1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, STK11, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN1, SMARCB1, TSC1, RHOB, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, KANSL1, RXRA, KDM5C, EIF1AX, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, ZFHX3, LEMD2, BRCA1, BRCA2, POLQ, SMC1A, LATS1, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR3, TNFAIP3, PSIP1, CYLD, PLXNB2, CTNNB1, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, CASP8, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, MUC6, EPAS1, INPPL1, IDH2, TRAF3, NPM1, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, NFE2L2, SOX9, ELF3, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, PTPRD, PTPRC, IRF2, IRF6, PIK3CA, PIK3CB, PIK3CG, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, SIN3A, RNF43, CDK4, TBL1XR1, PPP2R1A, PLCB4, PCBP1, CREB3L3, TCEB1, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, SMC3, PDGFRA, ZBTB20, DDX3X, GATA3, CTCF, RPL22, TSC2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, ARID1A, SPTAN1, TGIF1"
COADREAD,296,"PTCH1, PTPN11, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, BCL2, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, PPP6C, FAT1, KMT2D, HIST1H1E, HIST1H1C, SOS1, BCL2L11, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, VHL, DIAPH2, RFC1, ERCC2, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, RARA, MEN1, KRT222, RB1, LZTR1, SPOP, FLNA, PLCG1, CEBPA, RNF111, DHX9, NUP93, SMAD2, APC, TXNIP, MECOM, SF1, BRD7, DMD, ZNF133, GNA13, GNA11, H3F3C, H3F3A, APOB, NSD1, KEL, MET, RRAS2, MTOR, CNBD1, TAF1, ATR, HLA-B, HLA-A, AMER1, RAD21, CTNND1, DAZAP1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, STK11, HRAS, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, EZH2, KANSL1, RXRA, MAP2K1, MAP2K4, KDM5C, RAC1, EIF1AX, SMAD4, CHD3, CHD4, CHD8, POLRMT, ZFP36L2, GRIN2D, IL6ST, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1B, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR3, FGFR1, MYD88, TNFAIP3, PSIP1, RET, CYLD, TMSB4X, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2C, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, CASP8, AKT1, ACVR1B, SOX17, HGF, HUWE1, FOXA1, FOXA2, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, TRAF3, NPM1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, FOXQ1, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, UNCX, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, CD79B, SIN3A, RNF43, CDK4, TBL1XR1, TLR4, ZCCHC12, PPP2R1A, PGR, CBFB, RUNX1, PLCB4, ESR1, PCBP1, AR, CREB3L3, TCEB1, PPM1D, CHEK2, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, MYC, GATA3, CCND1, CD70, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1, TGIF1"
KIRC,217,"PTCH1, PTPN11, BTG2, FUBP1, ZBTB7B, SETBP1, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, NOTCH2, USP9X, WHSC1, EEF1A1, FAT1, KMT2D, HIST1H1C, SOS1, ZFP36L1, ZNF750, EPHA3, BAP1, MAPK1, BCOR, PHF6, ATRX, VHL, DIAPH2, RFC1, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, RARA, MEN1, RB1, SPOP, FLNA, RNF111, DHX9, SMAD2, APC, TXNIP, MECOM, BRD7, DMD, GNA13, APOB, NSD1, KEL, MET, MTOR, CNBD1, TAF1, ATR, AMER1, RAD21, CTNND1, COL5A1, PIK3R2, PIK3R1, B2M, NUP133, PRKAR1A, MYCN, PMS1, PMS2, BRAF, TCF12, POLE, RQCD1, KIF1A, STAG2, XPO1, AXIN2, AXIN1, SMARCB1, TSC1, RHOB, FLT3, MAP3K1, MAP3K4, SETD2, TP53, RHEB, ARID5B, EZH2, KANSL1, KDM5C, CHD3, CHD4, CHD8, ZFP36L2, IL6ST, CDK12, GNAS, WT1, ZFHX3, LEMD2, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, FGFR2, FGFR3, FGFR1, RET, CYLD, PLXNB2, CTNNB1, EP300, MED12, KMT2C, KMT2B, MACF1, ATM, ARHGAP35, CACNA1A, NCOR1, ERBB2, CDKN2C, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, TET2, TCF7L2, AKT1, ACVR1B, HGF, HUWE1, FOXA2, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, EGFR, AJUBA, CDH1, KMT2A, KEAP1, CARD11, ALK, ALB, NFE2L2, SOX9, PTMA, ELF3, ERBB3, ERBB4, DNMT3A, PTEN, PTPRC, IRF2, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA4, CUL1, CUL3, SIN3A, RNF43, TBL1XR1, TLR4, ZCCHC12, PGR, PLCB4, PCBP1, AR, CREB3L3, TCEB1, CHEK2, PBRM1, MSH2, MSH3, MSH6, ATF7IP, SMC3, PDGFRA, ZBTB20, DDX3X, GATA3, CTCF, RPL22, TSC2, ZMYM2, ZMYM3, GTF2I, CREBBP, SF3B1, PTPDC1, ARID1A, SPTAN1"
TGCT,79,"PTCH1, MGA, ASXL1, ASXL2, SPTA1, NOTCH1, FAT1, KMT2D, HIST1H1C, SOS1, EPHA3, EGR3, BAP1, GNAQ, NIPBL, KRAS, RPL5, JAK2, LZTR1, FLNA, APC, DMD, APOB, RRAS2, ATR, RAD21, CTNND1, MYCN, STAG2, XPO1, AXIN1, TP53, ARID5B, CDK12, GNAS, ZFHX3, SCAF4, CIC, PSIP1, PLXNB2, EP300, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, NCOR1, ERBB2, NRAS, NF1, HUWE1, FOXA1, MUC6, EPAS1, TRAF3, EGFR, RBM10, PTMA, FOXQ1, IRF6, KIT, PIK3CA, PIK3CB, CUL3, PGR, RUNX1, PPM1D, PBRM1, MSH6, SMC3, DDX3X, GATA3, ZMYM2, CREBBP, MYH9, ARID1A, SPTAN1, TGIF1"
KICH,64,"FUBP1, MGA, SPTA1, NOTCH1, USP9X, FAT1, KMT2D, EPHA3, ZC3H12A, ATRX, VHL, RASA1, NIPBL, ABL1, RB1, FLNA, PLCG1, RNF111, MECOM, DMD, ZNF133, MTOR, TAF1, ATR, COL5A1, PIK3R1, POLE, SMARCB1, TSC1, SETD2, TP53, ARID5B, KDM5C, CHD3, CHD4, GRIN2D, CDKN1B, CDKN1A, LATS2, CYLD, CTNNB1, KMT2C, KMT2B, ATM, CACNA1A, NRAS, NF1, ACVR1B, HUWE1, MUC6, RBM10, ALK, SRSF2, ERBB3, ERBB4, PTEN, PTPRD, PGR, CHEK2, PBRM1, ATF7IP, TSC2, MYH9, SPTAN1"
UCS,153,"PTCH1, PTPN11, ZBTB7B, CYSLTR2, ASXL2, SPTA1, NOTCH1, USP9X, EEF1A1, FAT1, KMT2D, BCL2L11, ZFP36L1, EPHA3, GNAQ, BCOR, PHF6, ATRX, DIAPH2, RFC1, RASA1, NIPBL, ABL1, KRAS, JAK2, JAK3, KLF5, KRT222, RB1, LZTR1, SPOP, FLNA, RNF111, DHX9, APC, BRD7, DMD, ZNF133, APOB, NSD1, KEL, MET, RRAS2, CNBD1, TAF1, ATR, HLA-B, AMER1, CTNND1, COL5A1, PIK3R1, PRKAR1A, BRAF, POLE, KIF1A, STAG2, XPO1, TSC1, FLT3, MAP3K1, MAP3K4, SETD2, TP53, EZH2, KANSL1, MAP2K4, KDM5C, RAC1, SMAD4, CHD4, CHD8, ZFP36L2, IL6ST, GNAS, ZFHX3, SCAF4, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, FBXW7, FGFR2, FGFR3, MYD88, TNFAIP3, PLXNB2, GABRA6, EP300, MED12, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, ERBB2, CDKN2A, KDM6A, NRAS, NF1, TET2, TCF7L2, CASP8, ACVR1B, SOX17, HGF, HUWE1, FOXA2, DACH1, MUC6, EPAS1, INPPL1, IDH2, CARD11, ALK, ALB, NFE2L2, ERBB3, PTEN, U2AF1, PTPRD, IRF6, KIT, PIK3CA, PIK3CG, PDS5B, SMARCA1, SMARCA4, SIN3A, RNF43, TBL1XR1, TLR4, PPP2R1A, PGR, CHEK2, PBRM1, MSH6, SMC3, MYC, GATA3, CCND1, CTCF, RPL22, ZMYM3, CREBBP, SF3B1, MYH9, ARID1A, SPTAN1"
GBM,243,"PTCH1, PTPN11, FUBP1, ZBTB7B, SETBP1, CYSLTR2, MGA, BCL2, ASXL1, ASXL2, SPTA1, NOTCH2, USP9X, WHSC1, EEF1A1, FAT1, KMT2D, HIST1H1C, SOS1, BCL2L11, ZFP36L1, ZNF750, EPHA3, ZC3H12A, TBX3, GPS2, EGR3, BAP1, GNAQ, MAPK1, BCOR, PHF6, ATRX, DIAPH2, RFC1, RASA1, NIPBL, ABL1, MLH1, KRAS, RPL5, ACVR1, JAK2, JAK3, JAK1, KLF5, MEN1, KRT222, RB1, LZTR1, FLNA, PLCG1, RNF111, DHX9, SMAD2, APC, MECOM, SF1, BRD7, DMD, GNA11, H3F3C, H3F3A, APOB, NSD1, KEL, MET, RRAS2, MTOR, TAF1, ATR, AMER1, RAD21, COL5A1, PIK3R2, PIK3R1, B2M, MYCN, PMS1, BRAF, TCF12, POLE, KIF1A, STAG2, XPO1, AXIN2, AXIN1, TSC1, RHOA, FLT3, MAP3K1, MAP3K4, SETD2, TP53, ARID5B, EZH2, RXRA, KDM5C, SMAD4, CHD3, CHD4, CHD8, POLRMT, GRIN2D, CDK12, GNAS, WT1, MGMT, ZFHX3, LEMD2, CDKN1B, CDKN1A, SCAF4, BRCA1, BRCA2, POLQ, SMC1A, LATS2, LATS1, ARAF, CIC, RPS6KA3, FBXW7, TGFBR2, FGFR2, FGFR3, FGFR1, MYD88, TNFAIP3, RET, CYLD, TMSB4X, PLXNB2, CTNNB1, GABRA6, EP300, MED12, RAF1, KMT2C, KMT2B, MACF1, DICER1, ATM, ARHGAP35, CACNA1A, PAX5, NCOR1, ERBB2, CDKN2C, CDKN2A, EPHA2, KDM6A, THRAP3, NRAS, NF2, NF1, ATXN3, TET2, TCF7L2, AKT1, SOX17, HGF, HUWE1, FOXA1, DACH1, MUC6, FAM46D, EPAS1, INPPL1, IDH2, IDH1, TRAF3, NPM1, EGFR, AJUBA, CDH1, KMT2A, CARD11, RBM10, ALK, ALB, NFE2L2, SOX9, RIT1, SRSF2, ERBB3, ERBB4, DNMT3A, PTEN, EEF2, U2AF1, PTPRD, PTPRC, IRF2, IRF6, KIT, PIK3CA, PIK3CB, PIK3CG, MAX, CSDE1, ARID2, PDS5B, ACVR2A, SMARCA1, SMARCA4, CUL1, CUL3, SIN3A, RNF43, TLR4, ZCCHC12, PPP2R1A, PGR, RUNX1, PLCB4, ESR1, PCBP1, CREB3L3, PPM1D, IL7R, PBRM1, MSH2, MSH3, MSH6, ATF7IP, PIM1, SMC3, PDGFRA, ZBTB20, DDX3X, GATA3, CD70, CTCF, TSC2, ZMYM2, ZMYM3, CREBBP, SF3B1, MYH9, PTPDC1, ARID1A, SPTAN1"
